config	name	tags	_runtime	_step	_timestamp	eval_Validation loss	eval_acc	eval_f1	eval_mcc	eval_precision	eval_recall	learning_rate	train_loss
"{'epochs': 15, 'Dropout': 0.1, 'batch_size': 100, 'Weight Decay': 0.01, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0003, 'warm up percentage': 0.1, 'Maximum sequence length': 300}"	TFBS_NonTFBS_June_29th_2024_16_51_35_logstep=325_bs=100_lr=0.0003_wp=0.1_dp=0.1_wd=0.01_len=300_epoch=15.0	CTCFL	1288.1882700920105	3250	1719695584.866358	0.10347081491244564	0.9838541666666668	0.983842767	0.9677047761203286	0.9839327792968576	0.9837720101781172	2.038735983690112e-06	0.004683261
"{'epochs': 15, 'Dropout': 0.1, 'batch_size': 810, 'Weight Decay': 0.01, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}"	TFBS_NonTFBS_August_19th_2024_15_28_57_logstep=24_bs=810_lr=0.0001_wp=0.1_dp=0.1_wd=0.01_len=300_epoch=15.0	ZNF426	466.4175658226013	240	1724096204.9605658	0.12582589934269586	0.970906068	0.9708335151692736	0.9422064858410992	0.971887322	0.970320467	6.521739130434783e-06	0.061731759
"{'epochs': 15, 'Dropout': 0.1, 'batch_size': 60, 'Weight Decay': 0.001, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}"	TFBS_NonTFBS_August_27th_2024_10_40_57_logstep=241_bs=60_lr=0.0001_wp=0.1_dp=0.1_wd=0.001_len=300_epoch=15.0	SAFB	1620.5643935203552	2410	1724771279.7014284	0.25550396012081833	0.9701579871269748	0.9700338412442356	0.9400844252419912	0.970220014	0.9698644788249882	9.144947416552356e-07	0.000419655
"{'epochs': 15, 'Dropout': 0.1, 'batch_size': 720, 'Weight Decay': 0.01, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0003, 'warm up percentage': 0.1, 'Maximum sequence length': 300}"	TFBS_NonTFBS_July_31th_2024_17_22_51_logstep=3_bs=720_lr=0.0003_wp=0.1_dp=0.1_wd=0.01_len=300_epoch=15.0	RBM34	96.59779620170592	45	1722461070.0294833	0.19601254165172577	0.97	0.969429002	0.9406707220114098	0.9742857142857144	0.9664179104477612	0	0.008070597
"{'epochs': 15, 'Dropout': 0.1, 'batch_size': 810, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 1e-05, 'warm up percentage': 0.1, 'Maximum sequence length': 300}"	TFBS_NonTFBS_July_26th_2024_03_23_50_logstep=61_bs=810_lr=1e-05_wp=0.1_dp=0.1_wd=0.0005_len=300_epoch=15.0	TAF15	1155.3970701694489	610	1721979786.6538332	0.1066918782889843	0.9673510602490744	0.9671068408188048	0.9342156829064662	0.9671897403581832	0.9670259569052562	3.527336860670194e-07	0.10022303987233364
"{'epochs': 15, 'Dropout': 0.1, 'batch_size': 60, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 3e-06, 'warm up percentage': 0.1, 'Maximum sequence length': 300}"	TFBS_NonTFBS_August_03th_2024_14_28_45_logstep=840_bs=60_lr=3e-06_wp=0.1_dp=0.1_wd=0.0005_len=300_epoch=15.0	PCBP1	5251.290714025497	8400	1722714978.516422	0.10154443992433523	0.9669811320754716	0.9657936439335004	0.9315988048930012	0.9653754922506506	0.9662236987818384	5.941378399788751e-09	0.090205228
"{'epochs': 15, 'Dropout': 0.1, 'batch_size': 100, 'Weight Decay': 0.01, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}"	TFBS_NonTFBS_July_05th_2024_14_00_27_logstep=45_bs=100_lr=0.0001_wp=0.1_dp=0.1_wd=0.01_len=300_epoch=15.0	SRSF3	208.9940469264984	450	1720202638.8405728	0.149516613	0.9660377358490566	0.965843179	0.9319367495853628	0.9651681537405628	0.9667699724517906	3.579952267303103e-06	0.000704007
"{'epochs': 15, 'Dropout': 0.1, 'batch_size': 820, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}"	TFBS_NonTFBS_August_02th_2024_19_27_45_logstep=7_bs=820_lr=0.0001_wp=0.1_dp=0.1_wd=0.0005_len=300_epoch=15.0	RBM14	118.88183951377869	84	1722641385.3846304	0.1371748447418213	0.965686275	0.9650744735490498	0.930196966	0.9644846116267708	0.9657131661442008	7.407407407407408e-06	0.033253914
"{'epochs': 15, 'Dropout': 0.1, 'batch_size': 120, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}"	TFBS_NonTFBS_July_10th_2024_03_25_21_logstep=642_bs=120_lr=0.0001_wp=0.1_dp=0.1_wd=0.005_len=300_epoch=15.0	KDM4A	2983.9427678585052	6420	1720599306.8671608	0.3436225621584239	0.9606871489924016	0.95976332	0.9196864819673524	0.9611173334220212	0.9585726689324948	2.589779005524862e-07	0.003163802
"{'epochs': 15, 'Dropout': 0.1, 'batch_size': 120, 'Weight Decay': 0.01, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0003, 'warm up percentage': 0.1, 'Maximum sequence length': 300}"	TFBS_NonTFBS_July_09th_2024_22_49_47_logstep=105_bs=120_lr=0.0003_wp=0.1_dp=0.1_wd=0.01_len=300_epoch=15.0	NFYA	515.4908170700073	1050	1720580304.068894	0.3295694434385111	0.9590604026845636	0.958139494	0.9163880825439392	0.9592212626645912	0.9571691176470588	4.692387904066736e-06	0.002145623
"{'epochs': 15, 'Dropout': 0.1, 'batch_size': 820, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0003, 'warm up percentage': 0.1, 'Maximum sequence length': 300}"	TFBS_NonTFBS_August_13th_2024_13_45_02_logstep=154_bs=820_lr=0.0003_wp=0.1_dp=0.1_wd=0.005_len=300_epoch=15.0	SPI1	1349.1645345687866	1540	1723572453.0217435	0.27619678958466176	0.9578666666666666	0.9578661985133168	0.9159040998265168	0.9579809555997654	0.9579231460511476	4.273504273504273e-06	0.00264482
"{'epochs': 15, 'Dropout': 0.1, 'batch_size': 810, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0003, 'warm up percentage': 0.1, 'Maximum sequence length': 300}"	TFBS_NonTFBS_July_28th_2024_13_55_12_logstep=156_bs=810_lr=0.0003_wp=0.1_dp=0.1_wd=0.005_len=300_epoch=15.0	HLF	2953.895882844925	1560	1722192267.1804829	0.25263320850698573	0.9571333333333332	0.9571297571929456	0.9143760040217896	0.9572531561983346	0.9571228571073016	3.1734837799717902e-06	0.002449933
"{'epochs': 15, 'Dropout': 0.1, 'batch_size': 80, 'Weight Decay': 0.01, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}"	TFBS_NonTFBS_May_29th_2024_17_51_42_logstep=1593_bs=80_lr=0.0001_wp=0.1_dp=0.1_wd=0.01_len=300_epoch=15.0	EGR2	14154.19264	15930	1717033658.960883	0.321884071	0.9568	0.9567864105745184	0.9141482701705124	0.9573553833691067	0.9567930597535562	1.0452233293847121e-07	0.003934183
"{'epochs': 15, 'Dropout': 0.1, 'batch_size': 680, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 1e-05, 'warm up percentage': 0.1, 'Maximum sequence length': 300}"	TFBS_NonTFBS_July_29th_2024_06_26_11_logstep=127_bs=680_lr=1e-05_wp=0.1_dp=0.1_wd=0.0005_len=300_epoch=15.0	HNRNPLL	687.0322959423065	1270	1722249461.5911129	0.1465109707787633	0.954278441	0.9506005	0.9012240778543392	0.9497544378159974	0.9514712753299676	1.7226528854435838e-07	0.1192066433040176
"{'epochs': 15, 'Dropout': 0.1, 'batch_size': 120, 'Weight Decay': 0.01, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}"	TFBS_NonTFBS_July_11th_2024_09_39_27_logstep=646_bs=120_lr=0.0001_wp=0.1_dp=0.1_wd=0.01_len=300_epoch=15.0	HNRNPK	2971.0820739269257	6460	1720708139.918213	0.4044868601768384	0.9541023113155876	0.9521981897364644	0.9045141606369717	0.9536804894915872	0.950838137	3.429355281207133e-07	0.001815618
"{'epochs': 15, 'Dropout': 0.1, 'batch_size': 680, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 3e-05, 'warm up percentage': 0.1, 'Maximum sequence length': 300}"	TFBS_NonTFBS_July_29th_2024_09_37_27_logstep=45_bs=680_lr=3e-05_wp=0.1_dp=0.1_wd=0.005_len=300_epoch=15.0	FIP1L1	328.10459566116333	450	1722260582.5956216	0.15943147987127304	0.9534883720930232	0.9519018709900788	0.9041053995746824	0.9541262309119452	0.9499886363636364	1.073985680190931e-06	0.1095808012617959
"{'epochs': 15, 'Dropout': 0.1, 'batch_size': 120, 'Weight Decay': 0.01, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}"	TFBS_NonTFBS_July_08th_2024_03_59_56_logstep=712_bs=120_lr=0.0001_wp=0.1_dp=0.1_wd=0.01_len=300_epoch=15.0	ZNF654	3292.6415631771088	7120	1720428890.6116912	0.39196506837279665	0.9531234482073692	0.9531175435518716	0.9062940664539404	0.9532036126058396	0.9530904609116504	3.112356053532524e-07	0.003127843
"{'epochs': 15, 'Dropout': 0.1, 'batch_size': 60, 'Weight Decay': 0.01, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}"	TFBS_NonTFBS_August_10th_2024_13_46_22_logstep=1816_bs=60_lr=0.0001_wp=0.1_dp=0.1_wd=0.01_len=300_epoch=15.0	ZNF146	11310.157586097715	18160	1723323294.783853	0.3343565925597006	0.952299299	0.951736055	0.9036659747325924	0.9528195939710556	0.9508485303871396	1.2223444566678892e-07	0.007867709
